Name,Price ($),Cores,Score,Thread Mark,TDP,Socket,Power Efficiency (Score/W),Price Efficiency (Score/$),Average Efficiency,URL,Power Efficiency (FPS/W)
AMD Ryzen Threadripper PRO 7995WX,"8,199.00",96,154671,3952,350,sTR5,441.9171,18.8646,230.3909,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7995WX-96-Core-2-5GHz-sTR5-Processor-Unlocked-/226031026402,441.9171
AMD Ryzen Threadripper PRO 7985WX,"5,999.00",64,135597,3998,350,sTR5,387.42,22.6033,205.0117,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7985WX-64-Core-3-2GHz-sTR5-Processor-Unlocked-/335436185739,387.4200
AMD Ryzen Threadripper 7980X,"3,499.00",64,134981,3988,350,sTR5,385.66,38.5770,212.1185,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-7980X-64-Core-3-2GHz-sTR5-Processor-Unlocked-/335196002126,385.6600
AMD Ryzen Threadripper 7970X,"1,150.00",32,97534,4131,350,sTR5,278.6686,84.8122,181.7404,https://www.ebay.com/itm/Gigabyte-TRX50-AERO-D-Support-AMD-Ryzen-Threadripper-PRO-7000-7960x-7970x-CPU-/126429480639,278.6686
AMD Ryzen Threadripper PRO 7975WX,"4,981.99",32,94834,4066,350,sTR5,270.9543,19.0354,144.9948,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-PRO-7975WX-processor-4-GHz-128-MB-L3-100-000000453-/176448722172,270.9543
AMD Ryzen Threadripper 7960X,"1,150.00",24,83308,4091,350,sTR5,238.0229,72.4417,155.2323,https://www.ebay.com/itm/Gigabyte-TRX50-AERO-D-Support-AMD-Ryzen-Threadripper-PRO-7000-7960x-7970x-CPU-/126429480639,238.0229
AMD Ryzen Threadripper PRO 7965WX,"1,899.00",24,82097,3984,350,sTR5,234.5629,43.2317,138.8973,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7965WX-24-Core-4-2GHz-sTR5-Processor-Unlocked-/335480390495,234.5629
AMD Ryzen Threadripper 3990X,"1,799.99",64,80892,2564,280,sTRX4,288.9,44.9402,166.9201,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-3990x-64-cores-128-threads-2-9ghz-7nm-strx4-CPU-processor-/235666580747,288.9000
Intel Core i9-14900KS,528.75,24,63255,4885,150,FCLGA1700,421.7,119.6312,270.6656,https://www.ebay.com/itm/Intel-Core-i9-14900KS-Desktop-Processor-24-cores-8-P-cores-16-E-cores-/196464999724,421.7000
AMD Ryzen Threadripper 3970X,649.95,32,63240,2666,280,sTRX4,225.8571,97.2998,161.5785,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-PRO-3955WX-16-core-3-9-GHz-sWRX8-Processor-9JJ-160-/156134376701,225.8571
AMD Ryzen 9 7950X,439.99,16,62799,4281,170,AM5,369.4059,142.7282,256.0670,https://www.ebay.com/itm/AMD-Ryzen-9-7950x-Desktop-Processor-5-7-GHz-16-Cores-LGA-1718-AM5-/335496491561,369.4059
AMD Ryzen 9 7950X3D,649.00,16,62410,4141,120,AM5,520.0833,96.1633,308.1233,https://www.ebay.com/itm/AMD-Ryzen-9-7950X3D-Gaming-Processor-16-Core-And-32-Threads-5-70-GHz-Max-Boo-/125968966011,520.0833
Intel Core i9-13900KS,544.50,24,61747,4755,150,FCLGA1700,411.6467,113.4013,262.5240,https://www.ebay.com/itm/Intel-Core-i9-13900K-13th-Gen-24-cores-36M-Cache-up-5-8-GHz-LGA1700-/305652027224,411.6467
