Module,Score,Price ($),Price Efficiency (Score/$),URL
G Skill Intl F5-5600S4040A16G 16GB,27413,,,
Corsair CMK64GX5M2X6800C32 32GB,27407,,,
Corsair CMT64GX5M2B5200C40 32GB,27395,,,
Kingston KF560C40-16 16GB,27373,,,
Corsair CMK32GX5M2B6400C36 16GB,27351,,,
A-DATA Technology AX5U6000C3032G-BLABK 32GB,27330,,,
Corsair CMP64GX5M2B6400C32 32GB,27312,,,
A-DATA Technology AX5U6000C4016G-BLARWH 16GB,27291,,,
Corsair CMH64GX5M2B6000C30 32GB,27209,,,
Corsair CMK16GX5M1B5200C40 16GB,27193,,,
G Skill Intl F5-6400J3239G16G 16GB,27191,,,
G Skill Intl F5-8400J4052G24G 24GB,27186,,,
Crucial Technology CT32G56C46S5.C16D 32GB,27178,,,
Corsair CMK32GX5M2B6000C40 16GB,27139,,,
Gold Key Technology Co Ltd NMGD516F81-5200N 16GB,27106,,,
Corsair CMH32GX5M2E6000C36 16GB,27096,,,
Team Group Inc. UD5-5600 16GB,27054,,,
Corsair CMK5S32G3B56Z40A2 32GB,26983,,,
GIGA - BYTE Technology Co Ltd ARS32G60D5R 16GB,26952,,,
Corsair CMT32GX5M2X6000C36 16GB,26924,,,
Kingston KF552C40-8 8GB,26876,,,
Acer BL.9BWWR.352 32GB,26874,,,
Corsair CMH32GX5M2B6400C36 16GB,26851,,,
Lexar Co Limited LD5U16G68C34LA 16GB,26823,,,
Corsair CMK32GX5M2B6400C32 16GB,26816,,,
Wilk Elektronik S.A. IR-6400D564L32S/16G 16GB,26786,,,
Corsair CMH32GX5M2D6000C36 16GB,26784,,,
G Skill Intl F5-5600J3636C16G 16GB,26765,,,
Golden Empire CL38-44-44 D5-5600 16GB,26742,,,
G Skill Intl F5-7800J3646H16G 16GB,26712,,,
G Skill Intl F5-7600J3646G16G 16GB,26699,,,
Crucial Technology CT16G56C46S5.C8B2 16GB,26690,,,
Corsair CMK32GX5M2D6000C36 16GB,26642,,,
Corsair CMH48GX5M2B5200C38 24GB,26625,,,
G Skill Intl F5-6400J3239G32G 32GB,26601,,,
Samsung M323R2GA3DB0-CWMOD 16GB,26568,,,
G Skill Intl F5-6000J3636F32G 32GB,26547,,,
Corsair CMK5X16G1B52C40A2 16GB,26531,,,
A-DATA Technology AX5U5600C3616G-BLARWH 16GB,26516,,,
G Skill Intl F5-6600J3440G16G 16GB,26515,,,
Corsair CMK5X8G1A52C40B2 8GB,26505,,,
G Skill Intl F5-8200J4052F24G 24GB,26468,,,
Kingston KF556C40-8 8GB,26464,,,
Corsair CMT64GX5M4B6600C32 16GB,26462,,,
G Skill Intl F5-5600S4040A32G 32GB,26440,,,
Corsair CMK48GX5M2X7600C36 24GB,26413,,,
Corsair CMT32GX5M2X6600C32 16GB,26412,,,
Corsair CMK32GX5M2E6000C36 16GB,26403,,,
Jazer JAE6000U4008 8GB,26378,,,
JUHOR JHE6800U3416JGRGB 16GB,26356,,,
Corsair CMK32GX5M2B6000C36 16GB,26356,,,
Corsair CMH32GX5M2B6400C32 16GB,26337,,,
Corsair CMK64GX5M2B6000C30 32GB,26312,,,
Kingston KF564C32-16 16GB,26290,,,
Patriot Memory (PDP Systems) 7400 C36 Series 16GB,26194,,,
Kingston KF556C40-32 32GB,26181,,,
Corsair CMP64GX5M4B6400C32 16GB,26132,,,
Corsair CMT32GX5M2B6400C32 16GB,26121,,,
Kingston KF560C40-32 32GB,26080,,,
Corsair CMK64GX5M2B6400C32 32GB,26073,,,
Corsair CMH32GX5M2B5200C40 16GB,26036,,,
A-DATA Technology AX5U7200C3416G-DCLARWH 16GB,26008,,,
Corsair CMH96GX5M2B5200C38 48GB,26008,,,
Corsair CMH32GX5M2B5600C36 16GB,25998,,,
Thermaltake Technology Co Ltd RG33D516GX2-6000C36B 16GB,25955,,,
SK Hynix HMCG66AGBSA095N 8GB,25952,,,
Crucial Technology CP48G56C46U5.M16B1 48GB,25946,,,
SK Hynix HMCG78AGBUA081N 16GB,25941,,,
Corsair CMH32GX5M2B6000C30 16GB,25925,,,
Team Group Inc. UD5-7200 16GB,25912,,,
Team Group Inc. UD5-6800 48GB,25909,,,
Corsair CMP64GX5M2B6000C30 32GB,25869,,,
Team Group Inc. UD5-5200 16GB,25858,,,
A-DATA Technology AX5U6000C4016G-B 16GB,25806,,,
Avant Technology AVJ644GU44K6560P09-HYM7 32GB,25791,,,
Corsair CMK16GX5M1B5600C40 16GB,25751,,,
PUSKILL PSK-D5D46M5600BL-16G 16GB,25734,,,
Kingston KF556S40-32 32GB,25731,,,
Team Group Inc. SD5-5600 16GB,25697,,,
Corsair CMH64GX5M2B6400C32 32GB,25691,,,
Patriot Memory (PDP Systems) 7200 C34 Series 16GB,25686,,,
Corsair CMT64GX5M2B5600C40 32GB,25676,,,
G Skill Intl F5-5200J2834F16G 16GB,25616,,,
Crucial Technology CP32G56C46U5.C16D 32GB,25615,,,
A-DATA Technology AX5U6000C3616G-B 16GB,25539,,,
Samsung M425R1GB4PB0-CWMOD 8GB,25528,,,
Crucial Technology CT32G56C46S5.M16B2 32GB,25521,,,
Team Group Inc. UD5-8200 24GB,25459,,,
Corsair CMK32GX5M2X7000C34 16GB,25449,,,
Corsair CMK64GX5M2B5200C40 32GB,25441,,,
A-DATA Technology AX5U5600C3616G-DCLARWH 16GB,25439,,,
Crucial Technology CP16G56C46U5.C8D 16GB,25435,,,
A-DATA Technology AX5U5200C3816G-DCLARBK 16GB,25426,,,
Essencore Limited KD5AGUA80-60E400S 16GB,25412,,,
A-DATA Technology AX5U6400C3216G-DTLABBK 16GB,25388,,,
Corsair CMK96GX5M2B6400C32 48GB,25374,,,
G Skill Intl F5-6000J4040F16G 16GB,25333,,,
Corsair CMT64GX5M2B6400C32 32GB,25295,,,
Corsair CMK32GX5M2B5600C40 16GB,25292,,,
A-DATA Technology AX5U6000C4016G-DCLARBK 16GB,25286,,,
Kingston 9905789-082.A00G 32GB,25266,,,
Corsair CMK48GX5M2B7000C40 24GB,25227,,,
Corsair CMK64GX5M2B6600C32 32GB,25203,,,
Corsair CMH32GX5M2B7000C40 16GB,25162,,,
Crucial Technology CT32G56C46U5.C16D 32GB,25142,,,
Crucial Technology CP16G60C36U5W.M8D1 16GB,25131,,,
"PNY Technologies, Inc. 16GP1X1664JJJ84-14-K3-RGB 16GB",25129,,,
A-DATA Technology AX5U6400C3216G-BLABRBK 16GB,25107,,,
Corsair CMT32GX5M2X6000C30 16GB,25106,,,
Corsair CMT32GX5M2X7200C34 16GB,25096,,,
JUHOR JHE6000U4616JG 16GB,25091,,,
Samsung M425R2GA3BB0-CWMOL 16GB,25082,,,
SK Hynix HMCG66MEBSA095N 8GB,25054,,,
Samsung M425R1GB4BB0-CWMOD 8GB,25054,,,
A-DATA Technology AX5U6000C3016G-BLABK 16GB,24988,,,
Patriot Memory (PDP Systems) 8000 C38 Series 16GB,24975,,,
Corsair CMH32GX5M2B6600C38 16GB,24938,,,
G Skill Intl F5-6800J3445G16G 16GB,24927,,,
Crucial Technology CP32G56C46U5.M16D1 32GB,24926,,,
Acer BL.9BWWR.327 16GB,24921,,,
Corsair CMH32GX5M2X7200C34 16GB,24912,,,
Patriot Memory (PDP Systems) 7600 C36 Series 16GB,24894,,,
Kingston KF548C38-8 8GB,24879,,,
Corsair CMH96GX5M2B5600C40 40GB,24871,,,
SK Hynix HMCG78AEBUA081N 16GB,24868,,,
Kingston KF572C38-16 16GB,24854,,,
Corsair CMH32GX5M2B5600C40 16GB,24784,,,
Wilk Elektronik S.A. GR5600S564L46S/16G 16GB,24711,,,
Team Group Inc. SD5-5200 32GB,24693,,,
Corsair CMK32GX5M2B7000C40 16GB,24686,,,
G Skill Intl F5-7200J3445G16G 16GB,24670,,,
